"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"unequal",300,20,0,"Dual-clock model","full_logloss",0.000140698768387161,1.33641810746948e-05,0.000114504973480759,0.000166892563293563,0.763333333333333
"unequal",300,20,0,"Dual-clock model","full_brier",8.40992585886269e-05,8.04608179054614e-06,6.83289382791564e-05,9.98695788980973e-05,0.753333333333333
"common",500,20,0,"Dual-clock model","departure_logloss",7.02239404223618e-05,7.85973045230486e-06,5.48188687358443e-05,8.56290121088794e-05,0.683333333333333
"common",500,20,0,"Dual-clock model","departure_brier",2.97200937978039e-05,3.3350430785557e-06,2.31834093638347e-05,3.62567782317731e-05,0.686666666666667
"common",500,20,0,"Dual-clock model","full_logloss",7.02239404223544e-05,7.85973045230474e-06,5.48188687358371e-05,8.56290121088717e-05,0.683333333333333
"common",500,20,0,"Dual-clock model","full_brier",3.79807897462325e-05,4.27507778169806e-06,2.96016372941043e-05,4.63599421983607e-05,0.673333333333333
"unequal",500,20,0,"Dual-clock model","departure_logloss",8.06133291130229e-05,9.66102778526856e-06,6.16777146538965e-05,9.95489435721493e-05,0.693333333333333
"unequal",500,20,0,"Dual-clock model","departure_brier",3.70985531588735e-05,4.46540228212994e-06,2.83463646858988e-05,4.58507416318482e-05,0.67
"unequal",500,20,0,"Dual-clock model","full_logloss",8.0613329113021e-05,9.66102778526888e-06,6.1677714653894e-05,9.9548943572148e-05,0.693333333333333
"unequal",500,20,0,"Dual-clock model","full_brier",4.76161349255363e-05,5.65631795302827e-06,3.65297517376008e-05,5.87025181134717e-05,0.68
"common",100,8,0.25,"Dual-clock model","departure_logloss",0.000813616123388818,0.000107825580397422,0.00060227798580987,0.00102495426096777,0.683333333333333
"common",100,8,0.25,"Dual-clock model","departure_brier",0.000333986296600062,4.52962757921065e-05,0.000245205596047533,0.00042276699715259,0.68
"common",100,8,0.25,"Dual-clock model","full_logloss",0.000813616123388821,0.000107825580397422,0.000602277985809873,0.00102495426096777,0.683333333333333
"common",100,8,0.25,"Dual-clock model","full_brier",0.000432424649161435,5.82265377784447e-05,0.000318300635115683,0.000546548663207186,0.663333333333333
"unequal",100,8,0.25,"Dual-clock model","departure_logloss",0.000899488234906211,0.000113179576737875,0.000677656264499975,0.00112132020531245,0.666666666666667
