"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"common",100,8,0,"Dual-clock model",300,0.623132626615997,0.0141455846442706,0.215375898642605,0.00653405226359936,0.804679180916495,0.00851672830949033,1.60063638177314,0.778340323115847
"common",100,8,0,"Global alpha-beta model",300,0.622937885334957,0.0140230423540845,0.215312195240901,0.006512214870808,0.806209196093904,0.00880386670738601,1.6004416404921,0.778251709233097
"common",100,8,0,"Origin-specific homogeneous",300,0.621674033011981,0.0137539793556194,0.214800799600546,0.00641578561085907,0.795682500651924,0.0177657314137154,1.59917778816912,0.777602099537138
"common",100,8,0,"Spline spell-age model",278,0.630678604956036,0.0362400997694707,0.215801397303116,0.00667041377097964,0.804323049959482,0.00981869264968041,1.60796507819452,0.77876690429934
"common",100,8,0,"Stage-Spell SPAOM",300,0.621665806367282,0.0137400632062242,0.214801826206035,0.00640884922794361,0.790555987607272,0.0244423269494891,1.59916956152443,0.777608254822117
"common",100,8,0.25,"Dual-clock model",300,0.637677434041398,0.0179406439298507,0.222080630746988,0.00632463950314241,0.445558892772187,0.375156523078031,1.58477744081173,0.77137412708058
"common",100,8,0.25,"Global alpha-beta model",300,0.641460154876537,0.0189867667500296,0.223706394609492,0.00663366349627254,0.678745220599908,0.0534429077492667,1.58856016164686,0.773455737760253
"common",100,8,0.25,"Origin-specific homogeneous",300,0.640175004126673,0.0186271200930912,0.223188029131629,0.00647068099569593,0.693917103648361,0.0294247232104775,1.587275010897,0.772788830149717
"common",100,8,0.25,"Spline spell-age model",295,0.638936138340402,0.0197643220727444,0.222408637443388,0.00657381922098199,0.48064121721319,0.329448330672726,1.58630556693679,0.771931950319553
"common",100,8,0.25,"Stage-Spell SPAOM",300,0.636863817918009,0.0178514923341934,0.221746644450388,0.00630084178844629,0.398435965729303,0.439852788907957,1.58396382468834,0.770941702431419
"common",100,8,0.52,"Dual-clock model",300,0.644733119059433,0.0150762244509162,0.225872950110526,0.00648210450464026,0.0984663170030466,0.812792882779521,1.54408349995437,0.751182692957228
"common",100,8,0.52,"Global alpha-beta model",300,0.66246658408613,0.0164254768136305,0.234174147869068,0.00674066041883248,0.455771773552528,0.190193976271731,1.56181696498107,0.761786234747769
"common",100,8,0.52,"Origin-specific homogeneous",300,0.662123963273919,0.0159366825254502,0.234049346090573,0.00646635169288109,0.546257267474561,0.0312008953427872,1.56147434416886,0.761626698220409
"common",100,8,0.52,"Spline spell-age model",300,0.645564808668345,0.0156470817083271,0.226227738625161,0.00668666935843913,0.116504237964096,0.781519773580934,1.54491518956328,0.751633278783427
"common",100,8,0.52,"Stage-Spell SPAOM",300,0.643876031885182,0.0148628251412494,0.225511849800618,0.00641344480952072,0.0797443894059392,0.846484363988241,1.54322641278012,0.750719486053037
"common",100,8,0.8,"Dual-clock model",300,0.637098814085908,0.0134160176699475,0.222467392819035,0.00623579895386782,0.0171380077407701,0.934097185698159,1.47878281712141,0.716762980301608
"common",100,8,0.8,"Global alpha-beta model",300,0.678963057881692,0.0131906395963967,0.242690467613299,0.00617581826577264,0.219936144241031,0.412325371524329,1.5206470609172,0.742548748320398
"common",100,8,0.8,"Origin-specific homogeneous",300,0.681767801039938,0.0124702286413518,0.244092456367394,0.00594808684669393,0.376332550780979,0.0298347771719466,1.52345180407544,0.744303294235308
"common",100,8,0.8,"Spline spell-age model",300,0.637996927779958,0.0137267393048801,0.222847934003969,0.00637714726094375,0.0250937727752813,0.915153112188398,1.47968093081546,0.717240171387028
"common",100,8,0.8,"Stage-Spell SPAOM",300,0.636350775790701,0.0134095300937499,0.222154847919978,0.00624578094349817,0.0123995622382781,0.947611216229927,1.47803477882621,0.716363634658105
"common",100,12,0,"Dual-clock model",300,0.621192925156782,0.0113799444739674,0.214651530538598,0.00526327671785636,0.788542176085312,0.0249748149006832,1.59320172879485,0.776174624771651
"common",100,12,0,"Global alpha-beta model",300,0.620982533522797,0.0111546793692079,0.214567986083207,0.00517442048518137,0.796470532408276,0.014534075803321,1.59299133716087,0.776072470798972
"common",100,12,0,"Origin-specific homogeneous",300,0.620277419317663,0.0110692239149462,0.214279988350491,0.00515671214194067,0.796109816773548,0.0168557503672633,1.59228622295573,0.775706896900264
"common",100,12,0,"Spline spell-age model",297,0.622507511612095,0.0124324889564743,0.214956583794061,0.00532252478676853,0.783512312104509,0.0319632325186604,1.59446333665485,0.77652511020007
"common",100,12,0,"Stage-Spell SPAOM",300,0.620404697510577,0.0110055411275171,0.214336447585318,0.00513253000370932,0.808097618033933,0.0031278789362116,1.59241350114865,0.77577759288432
"common",100,12,0.25,"Dual-clock model",300,0.63607981985164,0.0107645725794612,0.221932080099769,0.00507660983499865,0.299847919527603,0.557413528248849,1.57297764424803,0.767378588930063
"common",100,12,0.25,"Global alpha-beta model",300,0.640071269307318,0.0108820128449135,0.223706900965681,0.00512468812710896,0.662774941104567,0.0479737202208512,1.57696909370371,0.769633500520295
"common",100,12,0.25,"Origin-specific homogeneous",300,0.639252232856611,0.010908448011399,0.223367992385822,0.00515918268379837,0.71318584438093,-0.0212516586866842,1.57615005725301,0.769194795800561
"common",100,12,0.25,"Spline spell-age model",300,0.637082848348413,0.0114603338807787,0.222266492288515,0.00520635244241152,0.348411908139863,0.488868791396975,1.57398067274481,0.767802562212781
"common",100,12,0.25,"Stage-Spell SPAOM",300,0.635656131808882,0.0107664235101087,0.221755744633106,0.00508491173911764,0.265771913641214,0.605467524866532,1.57255395620528,0.767150770039011
"common",100,12,0.52,"Dual-clock model",300,0.642690667686848,0.011209707293243,0.225228402023579,0.00527545990317583,0.0342097332000256,0.925455259054933,1.5293337374675,0.745097344373259
"common",100,12,0.52,"Global alpha-beta model",300,0.662525380249978,0.0110775371748003,0.234673511222017,0.0052451950053077,0.39639302949311,0.250439294054684,1.54916845003063,0.757150090806437
"common",100,12,0.52,"Origin-specific homogeneous",300,0.662572218488995,0.0107679585904836,0.234707763259434,0.00513266048269377,0.504233674657019,0.0529788381483798,1.54921528826965,0.757178219404349
"common",100,12,0.52,"Spline spell-age model",300,0.643391212591999,0.0115312618940293,0.225572706373379,0.00542419360825474,0.0491485694190954,0.897170877327429,1.53003428237265,0.745537173092849
"common",100,12,0.52,"Stage-Spell SPAOM",300,0.642231788095964,0.0111520622613859,0.225028914457165,0.00525980239961924,0.0245004338812092,0.944450622913018,1.52887485787662,0.744839832928741
"common",100,12,0.8,"Dual-clock model",300,0.63178593495429,0.0112991689777575,0.220066338254016,0.00526491368214338,-0.00456642464408753,0.977908511116231,1.44670286252735,0.701034781808162
"common",100,12,0.8,"Global alpha-beta model",300,0.683449450976869,0.00865811213212013,0.245010903895931,0.0041072858353713,0.163910784248837,0.453158421116231,1.49836637854993,0.732804903277174
"common",100,12,0.8,"Origin-specific homogeneous",300,0.686310212504993,0.00830554878206978,0.246416797015032,0.00399290219654785,0.317662451576528,0.00669769128103765,1.50122714007805,0.734571211930189
"common",100,12,0.8,"Spline spell-age model",300,0.632230733361675,0.0111898280290333,0.220233493884219,0.0052227437365976,-0.0030624333298221,0.971821901939694,1.44714766093473,0.701250316764039
"common",100,12,0.8,"Stage-Spell SPAOM",300,0.631264449675636,0.0111358368122812,0.219844844091454,0.00520181566880987,-0.00742730225348175,0.986815343374958,1.44618137724869,0.700753022735389
"common",100,20,0,"Dual-clock model",300,0.619558937865945,0.0088192592931531,0.213997967275263,0.00413949269163847,0.79251241201167,0.0218912950552102,1.58695797547215,0.774422589740302
