"origin_stage","eta_unequal","eta_common","initial_stage_probability"
"Pre-negotiation",0.954553437609444,1.17991491149056,0.425925925925926
"Ceasefire",0.878779998657556,1.17991491149056,0.196296296296296
"Substantive Partial",0.880258346236464,1.17991491149056,0.262962962962963
"Substantive Comprehensive",1.78019864682698,1.17991491149056,0.062962962962963
"Implementation",1.11457613965712,1.17991491149056,0.0407407407407407
"Renegotiation/Other",1.84176988980272,1.17991491149056,0.0111111111111111
