"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"common",100,8,0,"Stage-Spell SPAOM",300,0.621665806367282,0.0137400632062242,0.214801826206035,0.00640884922794361,0.790555987607272,0.0244423269494891,1.59916956152443,0.777608254822117
"common",100,8,0.25,"Stage-Spell SPAOM",300,0.636863817918009,0.0178514923341934,0.221746644450388,0.00630084178844629,0.398435965729303,0.439852788907957,1.58396382468834,0.770941702431419
"common",100,8,0.52,"Stage-Spell SPAOM",300,0.643876031885182,0.0148628251412494,0.225511849800618,0.00641344480952072,0.0797443894059392,0.846484363988241,1.54322641278012,0.750719486053037
"common",100,8,0.8,"Stage-Spell SPAOM",300,0.636350775790701,0.0134095300937499,0.222154847919978,0.00624578094349817,0.0123995622382781,0.947611216229927,1.47803477882621,0.716363634658105
"common",100,12,0,"Origin-specific homogeneous",300,0.620277419317663,0.0110692239149462,0.214279988350491,0.00515671214194067,0.796109816773548,0.0168557503672633,1.59228622295573,0.775706896900264
"common",100,12,0.25,"Stage-Spell SPAOM",300,0.635656131808882,0.0107664235101087,0.221755744633106,0.00508491173911764,0.265771913641214,0.605467524866532,1.57255395620528,0.767150770039011
"common",100,12,0.52,"Stage-Spell SPAOM",300,0.642231788095964,0.0111520622613859,0.225028914457165,0.00525980239961924,0.0245004338812092,0.944450622913018,1.52887485787662,0.744839832928741
"common",100,12,0.8,"Stage-Spell SPAOM",300,0.631264449675636,0.0111358368122812,0.219844844091454,0.00520181566880987,-0.00742730225348175,0.986815343374958,1.44618137724869,0.700753022735389
"common",100,20,0,"Origin-specific homogeneous",300,0.618945001042461,0.00872013464047713,0.213743933832789,0.00410784546402512,0.793485612897461,0.0208004010006875,1.58634403864866,0.774098422855991
"common",100,20,0.25,"Stage-Spell SPAOM",300,0.634375165707319,0.00853261689610831,0.221222481807793,0.00404037662050801,0.146089536547384,0.785165696196759,1.56708166305602,0.765337268147422
"common",100,20,0.52,"Stage-Spell SPAOM",300,0.64137776817354,0.00795078944817207,0.224680312739798,0.00377509551567092,0.0203902180711065,0.964717216528271,1.51941174748521,0.741064971867613
