"baseline_design","n_processes","mean_length","beta_true","origin_stage","mean_eta_hat","eta_true","bias_eta","rmse_eta","coverage_eta"
"common",100,8,0,"Ceasefire",1.19113513242043,1.17991491149056,0.0112202209298732,0.116236627177208,0.956666666666667
"common",100,8,0,"Implementation",1.18763355404702,1.17991491149056,0.00771864255646259,0.127781964006,0.956666666666667
"common",100,8,0,"Pre-negotiation",1.19016123147702,1.17991491149056,0.0102463199864596,0.105910733527369,0.943333333333333
"common",100,8,0,"Renegotiation/Other",1.29964325014656,1.17991491149056,0.119728338655994,0.380233529005949,0.95
"common",100,8,0,"Substantive Comprehensive",1.23219625490697,1.17991491149056,0.0522813434164126,0.221874664149606,0.933333333333333
"common",100,8,0,"Substantive Partial",1.20356215231064,1.17991491149056,0.0236472408200779,0.113207159165186,0.953333333333333
"common",100,8,0.25,"Ceasefire",1.181618199485,1.17991491149056,0.00170328799444294,0.132971131709798,0.93
"common",100,8,0.25,"Implementation",1.18867022740689,1.17991491149056,0.00875531591632936,0.141433957914785,0.946666666666667
"common",100,8,0.25,"Pre-negotiation",1.1736825077693,1.17991491149056,-0.00623240372125666,0.118672307108034,0.94
"common",100,8,0.25,"Renegotiation/Other",1.41254512879623,1.17991491149056,0.232630217305673,1.30287759650002,0.933333333333333
"common",100,8,0.25,"Substantive Comprehensive",1.21333335439072,1.17991491149056,0.0334184429001536,0.203836872834676,0.966666666666667
"common",100,8,0.25,"Substantive Partial",1.18379551537659,1.17991491149056,0.00388060388603241,0.118434548577385,0.95
"common",100,8,0.52,"Ceasefire",1.17655285949999,1.17991491149056,-0.00336205199057156,0.1322327407978,0.94
"common",100,8,0.52,"Implementation",1.18656468480465,1.17991491149056,0.00664977331409122,0.133494769796435,0.95
"common",100,8,0.52,"Pre-negotiation",1.18442543553522,1.17991491149056,0.00451052404465545,0.110068423174575,0.943333333333333
"common",100,8,0.52,"Renegotiation/Other",1.32176036672967,1.17991491149056,0.141845455239105,0.932455157347309,0.933333333333333
"common",100,8,0.52,"Substantive Comprehensive",1.21126198014993,1.17991491149056,0.0313470686593714,0.236271620679434,0.926666666666667
"common",100,8,0.52,"Substantive Partial",1.17826940492444,1.17991491149056,-0.00164550656612137,0.114871418996015,0.943333333333333
"common",100,8,0.8,"Ceasefire",1.18172462613068,1.17991491149056,0.00180971464012236,0.13811567042209,0.93
"common",100,8,0.8,"Implementation",1.18897138631008,1.17991491149056,0.00905647481952017,0.142657363448547,0.956666666666667
"common",100,8,0.8,"Pre-negotiation",1.17903490506889,1.17991491149056,-0.000880006421673639,0.112568900650474,0.966666666666667
"common",100,8,0.8,"Renegotiation/Other",1.25350221143914,1.17991491149056,0.0735872999485781,0.341997280330261,0.966666666666667
"common",100,8,0.8,"Substantive Comprehensive",1.22180452133739,1.17991491149056,0.0418896098468306,0.223318711404854,0.956666666666667
"common",100,8,0.8,"Substantive Partial",1.189584614605,1.17991491149056,0.00966970311443727,0.113451652957271,0.95
"common",100,12,0,"Ceasefire",1.20478848706708,1.17991491149056,0.0248735755765216,0.103731282378067,0.946666666666667
"common",100,12,0,"Implementation",1.19277128136742,1.17991491149056,0.0128563698768601,0.0951283969033853,0.963333333333333
"common",100,12,0,"Pre-negotiation",1.20284904766557,1.17991491149056,0.0229341361750097,0.0945708343756513,0.95
"common",100,12,0,"Renegotiation/Other",1.22062244273512,1.17991491149056,0.0407075312445536,0.239722093958908,0.963333333333333
"common",100,12,0,"Substantive Comprehensive",1.2255390698674,1.17991491149056,0.0456241583768378,0.188125675009496,0.94
"common",100,12,0,"Substantive Partial",1.19991553789876,1.17991491149056,0.0200006264081954,0.100886378234448,0.916666666666667
"common",100,12,0.25,"Ceasefire",1.1871083198912,1.17991491149056,0.00719340840063518,0.102920220834272,0.946666666666667
"common",100,12,0.25,"Implementation",1.18113454768355,1.17991491149056,0.00121963619299101,0.0988655686231821,0.97
"common",100,12,0.25,"Pre-negotiation",1.18981748023925,1.17991491149056,0.00990256874868496,0.0936641799630942,0.94
"common",100,12,0.25,"Renegotiation/Other",1.23497154987883,1.17991491149056,0.0550566383882637,0.261259008642251,0.936666666666667
"common",100,12,0.25,"Substantive Comprehensive",1.19954654441702,1.17991491149056,0.0196316329264587,0.168937021946082,0.96
"common",100,12,0.25,"Substantive Partial",1.17750454814655,1.17991491149056,-0.00241036334400877,0.0925742724186306,0.946666666666667
"common",100,12,0.52,"Ceasefire",1.18488329520237,1.17991491149056,0.00496838371181241,0.109209914796811,0.953333333333333
