"parameter","estimate","bootstrap_mean","bootstrap_standard_error","ci_lower","ci_upper","successful_replications"
"beta_spell",0.481838329167579,0.469441827447448,0.0493278289558791,0.373734756896029,0.555507999710287,493
"frailty_sd",0.165851817192455,0.150712528036148,0.0880070094843085,0.000710436994880389,0.29258522819397,493
