"comparison_model","metric","mean_repeat_advantage","repeat_win_proportion","process_bootstrap_advantage","process_bootstrap_lower","process_bootstrap_upper"
"Fixed homogeneous","departure_logloss",0.0268581206871512,1,0.0268581206871512,0.0154394620228107,0.0393670495145106
"Fixed homogeneous","departure_brier",0.0131211099257204,1,0.0131211099257204,0.00738443290840629,0.0191519538279171
"Fixed Stage-Spell SPAOM","departure_logloss",-0.00011672521883147,0.3,-0.000116725218831441,-0.000934078334129222,0.000781596453859957
"Fixed Stage-Spell SPAOM","departure_brier",-7.72801300693404e-05,0.2,-7.72801300693382e-05,-0.000447811389780742,0.000328816154423102
"Frailty homogeneous","departure_logloss",0.0261513040375183,1,0.0261513040375184,0.0146173712817274,0.0380112855295418
"Frailty homogeneous","departure_brier",0.0128387237077661,1,0.0128387237077661,0.00762038732899604,0.0184180548608492
"Frailty spline spell-age","departure_logloss",-0.000386099686557606,0.2,-0.000386099686557603,-0.0028373370339157,0.00203064425469897
"Frailty spline spell-age","departure_brier",-0.000231344563020253,0.2,-0.000231344563020248,-0.00138029333611227,0.000927397618436145
