"model_key","model","converged","loglik","parameters","AIC","BIC_cluster","beta_spell_hat","beta_spell_se","frailty_sd","beta_ci_lower","beta_ci_upper","delta_AIC","delta_BIC_cluster"
"frailty_spline_spell","Frailty spline spell-age",TRUE,-1331.02330604805,10,2682.04661209609,2710.87463132195,,,0.162799330813778,,,0,6.97329452066151
"frailty_stage_spell","Frailty Stage-Spell SPAOM",TRUE,-1333.65684098964,8,2683.31368197929,2706.37609735998,0.481838329167579,0.0613354722735352,0.165851817192455,0.36162080351145,0.602055854823708,1.26706988319665,2.47476055868583
"fixed_stage_spell","Fixed Stage-Spell SPAOM",TRUE,-1334.86086167159,7,2683.72172334319,2703.90133680129,0.519843493602737,0.0558415279852993,0,0.41039409875155,0.629292888453924,1.67511124709745,0
"frailty_homogeneous","Frailty homogeneous",TRUE,-1366.32090847346,7,2746.64181694692,2766.82143040502,,,0.35709403192247,,,64.5952048508275,62.92009360373
"fixed_homogeneous","Fixed homogeneous",TRUE,-1384.58916115091,6,2781.17832230183,2798.47513383734,,,0,,,99.1317102057365,94.5737970360528
