"model","repetitions","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean"
"Frailty spline spell-age",10,0.655848005221296,0.00208249346144539,0.231695200802043,0.000822326628715733,0.00887267235049929,0.96091121226971
"Fixed Stage-Spell SPAOM",10,0.656117379689023,0.00210340835563261,0.231849265234994,0.000782256816804595,0.00338907774051456,0.929740516377983
"Frailty Stage-Spell SPAOM",10,0.656234104907854,0.00209550109042291,0.231926545365063,0.000808642223218873,0.00526720599398881,0.980421752385577
"Frailty homogeneous",10,0.682385408945372,0.00246714946581822,0.24476526907283,0.0011005420953029,0.0514824427622331,0.693128402373036
"Fixed homogeneous",10,0.683092225595005,0.00271614517108321,0.245047655290784,0.00117189202150592,0.0599286883231353,0.645448625766044
